id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
1;Austria;Metal&refined;31.0;60.0;72.0;60.0;111.0;68.0;48.0;75.0;70.0;98.0;212.0;e;cobalt
2;Belgium;Metal&refined;7000.0;4700.0;4400.0;2400.0;4461.0;5086.0;764.0;683.0;573.0;270.0;2686.0;e;cobalt
3;Belgium;Ore;1112.0;1227.0;633.0;2431.0;362.0;189.0;197.0;380.0;496.0;283.0;393.0;e;cobalt
4;Belgium;Oxides;nan;nan;nan;nan;nan;nan;12300.0;7100.0;6500.0;5300.0;6141.0;e;cobalt
5;Czech Republic;Oxides;nan;nan;nan;nan;5.0;30.0;30.0;42.0;25.0;0.0;0.0;e;cobalt
6;Estonia;Metal&refined;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;cobalt
7;Finland;Metal&refined;5700.0;4500.0;3900.0;4200.0;6200.0;4145.0;6206.0;5700.0;5300.0;6800.0;6400.0;e;cobalt
8;Finland;Oxides;2600.0;3100.0;5400.0;6400.0;4400.0;5200.0;4900.0;3700.0;5200.0;6700.0;6500.0;e;cobalt
9;France;Metal&refined;859.0;706.0;785.0;1086.0;1100.0;1217.0;1169.0;1133.0;1039.0;1465.0;1738.0;e;cobalt
10;France;Oxides;28.0;50.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;cobalt
11;Germany;Metal&refined;1588.0;1067.0;1481.0;1393.0;1533.0;1641.0;1981.0;2185.0;1972.0;2339.0;2592.0;e;cobalt
12;Germany;Ore;145.0;103.0;88.0;0.0;8.0;0.0;175.0;81.0;85.0;193.0;73.0;e;cobalt
13;Germany;Oxides;158.0;69.0;102.0;113.0;84.0;53.0;122.0;84.0;52.0;138.0;83.0;e;cobalt
14;Ireland, Republic of;Metal&refined;47.0;145.0;234.0;125.0;234.0;272.0;310.0;235.0;168.0;80.0;256.0;e;cobalt
15;Ireland, Republic of;Ore;144.0;84.0;184.0;68.0;177.0;144.0;162.0;314.0;352.0;149.0;198.0;e;cobalt
16;Italy;Metal&refined;220.0;205.0;187.0;230.0;177.0;184.0;242.0;231.0;280.0;249.0;237.0;e;cobalt
17;Italy;Oxides;235.0;141.0;206.0;224.0;188.0;390.0;422.0;277.0;332.0;342.0;310.0;e;cobalt
18;Latvia;Oxides;nan;nan;nan;nan;nan;nan;nan;0.0;5.0;70.0;47.0;e;cobalt
19;Lithuania;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;cobalt
20;Luxembourg;Metal&refined;7.0;3.0;1.0;305.0;nan;nan;nan;nan;nan;nan;nan;e;cobalt
21;Netherlands;Metal&refined;1090.0;353.0;1733.0;2062.0;1934.0;2054.0;3260.0;1123.0;1253.0;1411.0;1254.0;e;cobalt
22;Netherlands;Ore;nan;nan;nan;nan;221.0;40.0;19.0;300.0;506.0;200.0;50.0;e;cobalt
23;Netherlands;Oxides;959.0;65.0;144.0;67.0;130.0;45.0;21.0;8.0;13.0;42.0;61.0;e;cobalt
24;Norway;Metal&refined;3731.0;3550.0;3325.0;3064.0;3059.0;2876.0;3669.0;3172.0;3423.0;3867.0;3981.0;e;cobalt
25;Poland;Oxides;24.0;64.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;cobalt
26;Slovenia;Metal&refined;24.0;50.0;65.0;33.0;71.0;96.0;163.0;105.0;44.0;52.0;65.0;e;cobalt
27;Spain;Metal&refined;8.0;17.0;4.0;25.0;72.0;6.0;11.0;89.0;72.0;44.0;40.0;e;cobalt
28;Spain;Oxides;nan;33.0;19.0;14.0;37.0;66.0;123.0;68.0;36.0;57.0;62.0;e;cobalt
29;Sweden;Metal&refined;67.0;285.0;220.0;99.0;200.0;364.0;223.0;84.0;58.0;68.0;98.0;e;cobalt
30;Switzerland;Metal&refined;120.0;70.0;80.0;97.0;113.0;125.0;103.0;54.0;94.0;87.0;76.0;e;cobalt
31;Switzerland;Oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;e;cobalt
32;Turkey;Metal&refined;nan;nan;nan;nan;nan;nan;8.0;7.0;14.0;62.0;192.0;e;cobalt
33;United Kingdom;Metal&refined;2614.0;2572.0;1780.0;1739.0;1865.0;3136.0;1996.0;1993.0;2503.0;2933.0;3970.0;e;cobalt
